#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_v2        l2_rho_e         linf_rho         linf_rho_v1      linf_rho_v2      linf_rho_e       cons_rho         cons_rho_v1      cons_rho_v2      cons_rho_e       dsdu_ut          entropy          e_total          e_kinetic        e_internal    
        0  0.00000000e+00  1.00000000e+00   8.15750224e-09   1.07913889e-07   1.01782048e-07   1.80118035e-06   2.19371590e-07   2.67498023e-06   2.26237416e-06   5.30978529e-05   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.47831321e-14  -8.04564107e+00   6.34897300e+01   1.00652596e+00   6.24832040e+01
        1  1.00000000e-10  1.00000000e-10   8.15750218e-09   1.07913889e-07   1.01782048e-07   1.80118034e-06   2.19374299e-07   2.67492176e-06   2.26232069e-06   5.30981607e-05   3.33066907e-16   1.11022302e-15   2.88657986e-15   9.94759830e-14   7.47782073e-14  -8.04564107e+00   6.34897300e+01   1.00652596e+00   6.24832040e+01
